Name,ShortName,Match,Record,Sum,Avg,Year
Stal Gorzów,GOR,9,15000,118714,13190,2014
Unibax Toruń,TOR,7,15472,83054,11865,2014
SPAR Falubaz Zielona Góra,ZIE,9,15000,96367,10707,2014
Kantoronline VIPERPRINT Włókniarz Częstochowa,CZE,7,15000,70200,10029,2014
FOGO Unia Leszno,LES,9,17000,87800,9756,2014
Grupa Azoty Unia Tarnów,TAR,9,10000,66500,7389,2014
BETARD Sparta Wrocław,WRO,7,8500,35950,5136,2014
RENAULT ZDUNEK WYBRZEŻE Gdańsk,GDA,7,6900,29900,4271,2014
MONEYmakesMONEY.pl Stal Gorzów,GOR,7,14600,82200,11743,2015
SPAR Falubaz Zielona Góra,ZIE,7,16000,81500,11643,2015
FOGO Unia Leszno,LES,9,20000,100738,11193,2015
KS Toruń,TOR,9,17058,91610,10179,2015
PGE Stal Rzeszów,RZE,7,9000,51400,7343,2015
Unia Tarnów,TAR,9,8000,65000,7222,2015
BETARD Sparta Wrocław,WRO,9,14600,49773,5530,2015
MRGARDEN GKM Grudziądz,GRU,7,6500,35650,5093,2015
Stal Gorzów,GOR,9,16425,108220,12024,2016
GET WELL Toruń,TOR,9,16826,100923,11214,2016
Ekantor.pl Falubaz Zielona Góra,ZIE,9,15000,95500,10611,2016
ROW Rybnik,RYB,7,9500,58000,8286,2016
FOGO Unia Leszno,LES,7,11000,57200,8171,2016
MRGARDEN GKM Grudziądz,GRU,7,7300,42700,6100,2016
Unia Tarnów,TAR,7,6000,36500,5214,2016
BETARD Sparta Wrocław,WRO,9,7000,37200,4133,2016
BETARD Sparta Wrocław,WRO,9,13100,105117,11680,2017
CASH BROKER Stal Gorzów,GOR,9,14500,102418,11380,2017
Ekantor.pl Falubaz Zielona Góra,ZIE,9,15000,88500,9833,2017
Włókniarz Vitroszlif CrossFit Częstochowa,CZE,7,12000,67600,9657,2017
FOGO Unia Leszno,LES,9,16000,86665,9629,2017
ROW Rybnik,RYB,7,11500,66600,9514,2017
GET WELL Toruń,TOR,7,13369,63786,9112,2017
MRGARDEN GKM Grudziądz,GRU,7,7000,42500,6071,2017
forBET WŁÓKNIARZ Częstochowa,CZE,9,17000,117000,13000,2018
CASH BROKER STAL Gorzów,GOR,9,14500,114836,12760,2018
FOGO UNIA Leszno,LES,9,16700,107300,11922,2018
BETARD SPARTA Wrocław,WRO,9,12855,102592,11399,2018
FALUBAZ Zielona Góra,ZIE,7,15000,75000,10714,2018
GET WELL Toruń,TOR,7,13245,69741,9963,2018
GRUPA AZOTY UNIA Tarnów,TAR,7,8500,47500,6786,2018
MRGARDEN GKM Grudziądz,GRU,7,7000,41800,5971,2018
forBET WŁÓKNIARZ Częstochowa,CZE,9,16500,124500,13833,2019
BETARD SPARTA Wrocław,WRO,9,13711,115499,12833,2019
STELMET FALUBAZ Zielona Góra,ZIE,9,15000,110000,12222,2019
FOGO UNIA Leszno,LES,9,16760,100760,11196,2019
TRULY.WORK STAL Gorzów,GOR,7,12100,70750,10107,2019
SPEED CAR MOTOR Lublin,LUB,7,9812,68684,9812,2019
GET WELL Toruń,TOR,7,12568,53936,7705,2019
MRGARDEN GKM Grudziądz,GRU,7,7500,48000,6857,2019
BETARD SPARTA Wrocław,WRO,8,12823,97575,12197,2022
MOJE BERMUDY STAL Gorzów,GOR,10,15200,106168,10617,2022
ZIELONA-ENERGIA.COM WŁÓKNIARZ Częstochowa,CZE,10,16000,105200,10520,2022
FOR NATURE SOLUTIONS APATOR Toruń,TOR,10,12376,92278,9228,2022
MOTOR Lublin,LUB,10,8987,86461,8646,2022
ARGED MALESA Ostrów Wlkp.,OST,7,8912,42211,6030,2022
ZOOLESZCZ GKM Grudziądz,GRU,7,8000,41900,5986,2022
FOGO UNIA Leszno,LES,8,7000,44000,5500,2022
BETARD SPARTA Wrocław,WRO,10,13675,135471,13547,2023
EBUT.PL STAL Gorzów,GOR,8,12980,88484,11061,2023
TAURON WŁÓKNIARZ Częstochowa,CZE,10,14500,101500,10150,2023
PLATINUM MOTOR Lublin,LUB,10,9302,93020,9302,2023
FOR NATURE SOLUTIONS KS APATOR Toruń,TOR,10,12219,88281,8828,2023
FOGO UNIA Leszno,LES,8,15000,68500,8563,2023
CELLFAST WILKI Krosno,KRO,7,7000,48500,6929,2023
ZOOLESZCZ GKM Grudziądz,GRU,7,7964,43887,6270,2023
BETARD SPARTA Wrocław,WRO,10,13675,136750,13675,2024
NOVYHOTEL FALUBAZ Zielona Góra,ZIE,8,14500,94400,11800,2024
KS APATOR Toruń,TOR,10,13486,111907,11191,2024
EBUT.PL STAL Gorzów,GOR,9,14894,92522,10280,2024
FOGO UNIA Leszno,LES,7,16700,68200,9743,2024
ORLEN OIL MOTOR Lublin,LUB,10,9302,90938,9094,2024
ZOOLESZCZ GKM Grudziądz,GRU,8,8000,59522,7440,2024
KRONO-PLAST WŁÓKNIARZ Częstochowa,CZE,7,10000,52000,7429,2024
